ID                         Name   Partition   Nodes   Cores   Decl._mem   Mem._%_usage    Eff.    CPU._used   Wall._Used   Wall._Req.              End_Time
15402315_45      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.7%     00:38:20     00:09:35     00:30:00   2025-03-26 15:14:17
15402315_46      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.8%     00:42:16     00:10:34     00:30:00   2025-03-26 15:15:16
15402315_47      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.0%     00:45:16     00:11:19     00:30:00   2025-03-26 15:16:01
15402315_48      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.6%     00:45:56     00:11:29     00:30:00   2025-03-26 15:16:11
15402315_53      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.8%     00:47:04     00:11:46     00:30:00   2025-03-26 15:16:28
15402315_49      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.8%     00:47:36     00:11:54     00:30:00   2025-03-26 15:16:36
15402315_50      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.7%     00:49:24     00:12:21     00:30:00   2025-03-26 15:17:03
15402315_51      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.5%     00:49:56     00:12:29     00:30:00   2025-03-26 15:17:11
15402315_58      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.9%     00:50:24     00:12:36     00:30:00   2025-03-26 15:17:18
15402315_97      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.1%     00:50:44     00:12:41     00:30:00   2025-03-26 15:17:23
15402315_52      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.8%     00:51:36     00:12:54     00:30:00   2025-03-26 15:17:36
15402315_54      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.9%     00:52:32     00:13:08     00:30:00   2025-03-26 15:17:50
15402315_63      blender_flower      plgrid       1       4      4.0GiB           5.4%   99.1%     00:52:52     00:13:13     00:30:00   2025-03-26 15:17:55
15402315_80      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.0%     00:53:20     00:13:20     00:30:00   2025-03-26 15:18:02
15402315_100     blender_flower      plgrid       1       4      4.0GiB           5.9%   99.4%     00:53:48     00:13:27     00:30:00   2025-03-26 15:18:09
15402315_56      blender_flower      plgrid       1       4      4.0GiB          33.9%   98.9%     00:54:08     00:13:32     00:30:00   2025-03-26 15:18:14
15402315_71      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.2%     00:54:20     00:13:35     00:30:00   2025-03-26 15:18:17
15402315_55      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.9%     00:54:36     00:13:39     00:30:00   2025-03-26 15:18:21
15402315_72      blender_flower      plgrid       1       4      4.0GiB           5.4%   98.2%     00:54:36     00:13:39     00:30:00   2025-03-26 15:18:21
15402315_73      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.5%     00:55:04     00:13:46     00:30:00   2025-03-26 15:18:28
15402315_57      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.9%     00:55:24     00:13:51     00:30:00   2025-03-26 15:18:33
15402315_68      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.0%     00:55:28     00:13:52     00:30:00   2025-03-26 15:18:34
15402315_59      blender_flower      plgrid       1       4      4.0GiB           5.7%   98.9%     00:55:52     00:13:58     00:30:00   2025-03-26 15:18:40
15402315_75      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.0%     00:55:56     00:13:59     00:30:00   2025-03-26 15:18:41
15402315_78      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.0%     00:55:56     00:13:59     00:30:00   2025-03-26 15:18:41
15402315_64      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.2%     00:56:12     00:14:03     00:30:00   2025-03-26 15:18:45
15402315_74      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.1%     00:56:16     00:14:04     00:30:00   2025-03-26 15:18:46
15402315_89      blender_flower      plgrid       1       4      4.0GiB           5.6%   97.9%     00:56:16     00:14:04     00:30:00   2025-03-26 15:18:46
15402315_67      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.0%     00:56:20     00:14:05     00:30:00   2025-03-26 15:18:47
15402315_61      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.2%     00:56:44     00:14:11     00:30:00   2025-03-26 15:18:53
15402315_81      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.3%     00:56:48     00:14:12     00:30:00   2025-03-26 15:18:54
15402315_98      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.1%     00:56:56     00:14:14     00:30:00   2025-03-26 15:18:56
15402315_99      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.2%     00:56:56     00:14:14     00:30:00   2025-03-26 15:18:56
15402315_79      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.0%     00:57:00     00:14:15     00:30:00   2025-03-26 15:18:57
15402315_65      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.5%     00:57:16     00:14:19     00:30:00   2025-03-26 15:19:01
15402315_90      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.9%     00:57:20     00:14:20     00:30:00   2025-03-26 15:19:02
15402315_76      blender_flower      plgrid       1       4      4.0GiB           5.7%   99.1%     00:57:28     00:14:22     00:30:00   2025-03-26 15:19:04
15402315_92      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.0%     00:57:28     00:14:22     00:30:00   2025-03-26 15:19:04
15402315_91      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.9%     00:57:40     00:14:25     00:30:00   2025-03-26 15:19:07
15402315_62      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.1%     00:57:48     00:14:27     00:30:00   2025-03-26 15:19:09
15402315_94      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.9%     00:58:00     00:14:30     00:30:00   2025-03-26 15:19:12
15402315_88      blender_flower      plgrid       1       4      4.0GiB          33.9%   97.8%     00:58:12     00:14:33     00:30:00   2025-03-26 15:19:15
15402315_66      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.0%     00:58:24     00:14:36     00:30:00   2025-03-26 15:19:18
15402315_93      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.2%     00:58:24     00:14:36     00:30:00   2025-03-26 15:19:18
15402315_60      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.1%     00:58:28     00:14:37     00:30:00   2025-03-26 15:19:19
15402315_96      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.1%     00:58:40     00:14:40     00:30:00   2025-03-26 15:19:22
15402315_77      blender_flower      plgrid       1       4      4.0GiB           5.5%   99.0%     00:58:44     00:14:41     00:30:00   2025-03-26 15:19:23
15402315_85      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.7%     00:59:48     00:14:57     00:30:00   2025-03-26 15:19:39
15402315_86      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.1%     01:00:12     00:15:03     00:30:00   2025-03-26 15:19:45
15402315_84      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.6%     01:00:40     00:15:10     00:30:00   2025-03-26 15:19:52
15402315_87      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.0%     01:01:00     00:15:15     00:30:00   2025-03-26 15:19:57
15402315_70      blender_flower      plgrid       1       4      4.0GiB           5.5%   97.9%     01:01:40     00:15:25     00:30:00   2025-03-26 15:20:07
15402315_69      blender_flower      plgrid       1       4      4.0GiB           5.5%   97.7%     01:01:44     00:15:26     00:30:00   2025-03-26 15:20:08
15402315_95      blender_flower      plgrid       1       4      4.0GiB           5.6%   99.0%     01:02:16     00:15:34     00:30:00   2025-03-26 15:20:16
15402315_83      blender_flower      plgrid       1       4      4.0GiB           5.5%   98.9%     01:03:12     00:15:48     00:30:00   2025-03-26 15:20:30
15402315_82      blender_flower      plgrid       1       4      4.0GiB           5.6%   98.9%     01:05:08     00:16:17     00:30:00   2025-03-26 15:20:59
